id	journal_name	show_at_home_order	abstract	resource_links	pp_pages	issue	volume	pmc_id	pm_id	doi	other_link	year_published	article_name	assay_development	data_analysis	data_generation	data_integration	data_standards	signature_generation	software_development	review	created_at	updated_at	analytical_method_development	center_pub
1	BMC Systems Biology	NULL	"BACKGROUND: Thousands of biological and biomedical investigators study of the functional role of single genes and their protein products in normal physiology and in disease. The findings from these studies are reported in research articles that stimulate new research. It is now established that a complex regulatory networks's is controlling human cellular fate, and this community of researchers are continually unraveling this network topology. Attempts to integrate results from such accumulated knowledge resulted in literature-based protein-protein interaction networks (PPINs) and pathway databases. These databases are widely used by the community to analyze new data collected from emerging genome-wide studies with the assumption that the data within these literature-based databases is the ground truth and contain no biases. While suspicion for research focus biases is growing, a concrete proof for it is still missing. It is difficult to prove because the real PPINs are mostly unknown. RESULTS: Here we analyzed the longitudinal discovery process of literature-based mammalian and yeast PPINs to observe that these networks are discovered non-uniformly. The pattern of discovery is related to a theoretical concept proposed by Kauffman called \expanding the adjacent possible\"". We introduce a network discovery model which explicitly includes the space of possibilities in the form of a true underlying PPIN. CONCLUSIONS: Our model strongly suggests that research focus biases exist in the observed discovery dynamics of these networks. In summary, more care should be placed when using PPIN databases for analysis of newly acquired data, and when considering prior knowledge when designing new experiments."""	"{\Custom code\"":null}"""	26	1	9	PMC4456804	26048415	10.1186/s12918-015-0173-z	NULL	2015	Dynamics of the discovery process of protein-protein interactions from low content studies.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
2	Cell	NULL	"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b."	NULL	844-56	4	159	PMC4243058	25417160	10.1016/j.cell.2014.10.032	NULL	2014	A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.	0	1	1	0	0	1	0	0	5/19/16 18:33	5/19/16 18:33	0	1
3	Molecular Systems Biology	NULL	"Drugs that inhibit RAF/MEK signaling, such as vemurafenib, elicit profound but often temporary anti-tumor responses in patients with BRAF(V) (600E) melanoma. Adaptive responses to RAF/MEK inhibition occur on a timescale of hours to days, involve homeostatic responses that reactivate MAP kinase signaling and compensatory mitogenic pathways, and attenuate the anti-tumor effects of RAF/MEK inhibitors. We profile adaptive responses across a panel of melanoma cell lines using multiplex biochemical measurement, single-cell assays, and statistical modeling and show that adaptation involves at least six signaling cascades that act to reduce drug potency (IC50) and maximal effect (i.e., Emax ≪ 1). Among these cascades, we identify a role for JNK/c-Jun signaling in vemurafenib adaptation and show that RAF and JNK inhibitors synergize in cell killing. This arises because JNK inhibition prevents a subset of cells in a cycling population from becoming quiescent upon vemurafenib treatment, thereby reducing drug Emax. Our findings demonstrate the breadth and diversity of adaptive responses to RAF/MEK inhibition and a means to identify which steps in a signaling cascade are most predictive of phenotypic response."	"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2015/\"", \""Project Explorer\"":\""http://lincs.hms.harvard.edu/explore/adaptive-drug-resistance/\""}"""	797	3	11	PMC4380931	25814555	10.15252/msb.20145877	NULL	2015	Systematic analysis of BRAFV600E melanomas reveals a role for JNK/c-Jun pathway in adaptive resistance to drug-induced apoptosis.	0	1	1	1	0	1	0	0	5/19/16 18:33	5/19/16 18:33	0	1
4	PLoS Computational Biology	NULL	"Reconstructing regulatory and signaling response networks is one of the major goals of systems biology. While several successful methods have been suggested for this task, some integrating large and diverse datasets, these methods have so far been applied to reconstruct a single response network at a time, even when studying and modeling related conditions. To improve network reconstruction we developed MT-SDREM, a multi-task learning method which jointly models networks for several related conditions. In MT-SDREM, parameters are jointly constrained across the networks while still allowing for condition-specific pathways and regulation. We formulate the multi-task learning problem and discuss methods for optimizing the joint target function. We applied MT-SDREM to reconstruct dynamic human response networks for three flu strains: H1N1, H5N1 and H3N2. Our multi-task learning method was able to identify known and novel factors and genes, improving upon prior methods that model each condition independently. The MT-SDREM networks were also better at identifying proteins whose removal affects viral load indicating that joint learning can still lead to accurate, condition-specific, networks. Supporting website with MT-SDREM implementation: http://sb.cs.cmu.edu/mtsdrem."	"{\Custom code\"":null}"""	e1003943	12	10	PMC4270428	25522349	10.1371/journal.pcbi.1003943	NULL	2014	Multitask learning of signaling and regulatory networks with application to studying human response to flu.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
5	Nucleic Acids Research	NULL	"PhosphoSitePlus(®) (PSP, http://www.phosphosite.org/), a knowledgebase dedicated to mammalian post-translational modifications (PTMs), contains over 330,000 non-redundant PTMs, including phospho, acetyl, ubiquityl and methyl groups. Over 95% of the sites are from mass spectrometry (MS) experiments. In order to improve data reliability, early MS data have been reanalyzed, applying a common standard of analysis across over 1,000,000 spectra. Site assignments with P > 0.05 were filtered out. Two new downloads are available from PSP. The 'Regulatory sites' dataset includes curated information about modification sites that regulate downstream cellular processes, molecular functions and protein-protein interactions. The 'PTMVar' dataset, an intersect of missense mutations and PTMs from PSP, identifies over 25,000 PTMVars (PTMs Impacted by Variants) that can rewire signaling pathways. The PTMVar data include missense mutations from UniPROTKB, TCGA and other sources that cause over 2000 diseases or syndromes (MIM) and polymorphisms, or are associated with hundreds of cancers. PTMVars include 18 548 phosphorlyation sites, 3412 ubiquitylation sites, 2316 acetylation sites, 685 methylation sites and 245 succinylation sites."	"{\PhosphoSitePlus\"":\""http://www.phosphosite.org/\""}"""	D512-20	Database issue	43	PMC4383998	25514926	10.1093/nar/gku1267	NULL	2015	"PhosphoSitePlus, 2014: mutations, PTMs and recalibrations."	0	0	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
6	Bioinformatics	NULL	"MOTIVATION: Identification of differentially expressed genes is an important step in extracting knowledge from gene expression profiling studies. The raw expression data from microarray and other high-throughput technologies is deposited into the Gene Expression Omnibus (GEO) and served as Simple Omnibus Format in Text (SOFT) files. However, to extract and analyze differentially expressed genes from GEO requires significant computational skills. RESULTS: Here we introduce GEO2Enrichr, a browser extension for extracting differentially expressed gene sets from GEO and analyzing those sets with Enrichr, an independent gene set enrichment analysis tool containing over 70 000 annotated gene sets organized into 75 gene-set libraries. GEO2Enrichr adds JavaScript code to GEO web-pages; this code scrapes user selected accession numbers and metadata, and then, with one click, users can submit this information to a web-server application that downloads the SOFT files, parses, cleans and normalizes the data, identifies the differentially expressed genes, and then pipes the resulting gene lists to Enrichr for downstream functional analysis. GEO2Enrichr opens a new avenue for adding functionality to major bioinformatics resources such GEO by integrating tools and resources without the need for a plug-in architecture. Importantly, GEO2Enrichr helps researchers to quickly explore hypotheses with little technical overhead, lowering the barrier of entry for biologists by automating data processing steps needed for knowledge extraction from the major repository GEO. AVAILABILITY AND IMPLEMENTATION: GEO2Enrichr is an open source tool, freely available for installation as browser extensions at the Chrome Web Store and FireFox Add-ons. Documentation and a browser independent web application can be found at http://amp.pharm.mssm.edu/g2e/."	"{\GEO2Enrichr\"":\""http://amp.pharm.mssm.edu/g2e/\"",\""Enrichr\"":\""http://amp.pharm.mssm.edu/Enrichr\""}"""	3060-2	18	31	PMC4607730 	25971742	10.1093/bioinformatics/btv297	NULL	2015	GEO2Enrichr: browser extension and server app to extract gene sets from GEO and analyze them for biological functions.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
7	ACS Chemical Biology	NULL	"Despite being extensively characterized structurally and biochemically, the functional role of histone deacetylase 8 (HDAC8) has remained largely obscure due in part to a lack of known cellular substrates. Herein, we describe an unbiased approach using chemical tools in conjunction with sophisticated proteomics methods to identify novel non-histone nuclear substrates of HDAC8, including the tumor suppressor ARID1A. These newly discovered substrates of HDAC8 are involved in diverse biological processes including mitosis, transcription, chromatin remodeling, and RNA splicing and may help guide therapeutic strategies that target the function of HDAC8."	"{\Lincscloud P100 API\"":null}"""	2210-6	10	9	PMC4201337	25089360	10.1021/cb500492r	NULL	2014	"An unbiased approach to identify endogenous substrates of \histone\"" deacetylase 8."""	0	1	1	0	0	0	0	0	5/19/16 18:33	5/19/16 18:33	0	1
8	Bioinformatics	NULL	"Recently, several high profile studies collected cell viability data from panels of cancer cell lines treated with many drugs applied at different concentrations. Such drug sensitivity data for cancer cell lines provide suggestive treatments for different types and subtypes of cancer. Visualization of these datasets can reveal patterns that may not be obvious by examining the data without such efforts. Here we introduce Drug/Cell-line Browser (DCB), an online interactive HTML5 data visualization tool for interacting with three of the recently published datasets of cancer cell lines/drug-viability studies. DCB uses clustering and canvas visualization of the drugs and the cell lines, as well as a bar graph that summarizes drug effectiveness for the tissue of origin or the cancer subtypes for single or multiple drugs. DCB can help in understanding drug response patterns and prioritizing drug/cancer cell line interactions by tissue of origin or cancer subtype."	"{\LINCS Drug/Cell-line Browser\"":\""http://www.maayanlab.net/LINCS/DCB/\""}"""	3289-90	22	30	PMC4221125	25100688	10.1093/bioinformatics/btu526	NULL	2014	Drug/Cell-line Browser: interactive canvas visualization of cancer drug/cell-line viability assay datasets.	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	1	1
9	Nature Biotechnology	NULL	"Recipes for generating pure populations of specific cell types are undergoing rapid development for a diversity of applications, from cell therapies to disease modeling and drug screening. The main approaches used are differentiation of pluripotent stem cells, reprogramming of somatic cells to induced pluripotent stem cells and transdifferentiation of one type of somatic cell to another."	"{\Review of CellNet (non-LINCS tool)\"":\""http://cellnet.hms.harvard.edu/\""}"""	1007-8	10	32	PMC4274604	25299921	10.1038/nbt.3035	NULL	2014	A blueprint of cell identity.	0	0	0	1	0	0	0	1	5/19/16 18:33	5/19/16 18:33	0	1
10	Frontiers in Genetics	NULL	"The Library of Integrated Network-based Cellular Signatures (LINCS) project is a large-scale coordinated effort to build a comprehensive systems biology reference resource. The goals of the program include the generation of a very large multidimensional data matrix and informatics and computational tools to integrate, analyze, and make the data readily accessible. LINCS data include genome-wide transcriptional signatures, biochemical protein binding profiles, cellular phenotypic response profiles and various other datasets for a wide range of cell model systems and molecular and genetic perturbations. Here we present a partial survey of this data facilitated by data standards and in particular a robust compound standardization workflow; we integrated several types of LINCS signatures and analyzed the results with a focus on mechanism of action (MoA) and chemical compounds. We illustrate how kinase targets can be related to disease models and relevant drugs. We identified some fundamental trends that appear to link Kinome binding profiles and transcriptional signatures to chemical information and biochemical binding profiles to transcriptional responses independent of chemical similarity. To fill gaps in the datasets we developed and applied predictive models. The results can be interpreted at the systems level as demonstrated based on a large number of signaling pathways. We can identify clear global relationships, suggesting robustness of cellular responses to chemical perturbation. Overall, the results suggest that chemical similarity is a useful measure at the systems level, which would support phenotypic drug optimization efforts. With this study we demonstrate the potential of such integrated analysis approaches and suggest prioritizing further experiments to fill the gaps in the current data."	"{\LIFE\"":\""http://life.ccs.miami.edu/life/\""}"""	342	NULL	5	PMC4179751	25324859	10.3389/fgene.2014.00342	NULL	2014	"Large-scale integration of small molecule-induced genome-wide transcriptional responses, Kinome-wide binding affinities and cell-growth inhibition profiles reveal global trends characterizing systems-level drug action."	0	1	0	1	0	0	1	0	5/19/16 18:33	5/19/16 18:33	0	1
