,abstract,analytical_method_development,article_name,assay_development,center,center_pub,comments,created_at,data_analysis,data_generation,data_integration,data_standards,doi,issue,journal_name,name_x,other_link,pm_id,pmc_id,pp_pages,publication_id,resource_links,review,scopus_citations,show_at_home_order,signature_generation,software_development,updated_at,volume,year_published,n_citations,author_id,name_y,url,id,author_rank,DCIC,Drug Toxicity,Proteomics,Microenvironment,HMS,Transcriptomics,NeuroLINCS
0,"BACKGROUND: Thousands of biological and biomedical investigators study of the functional role of single genes and their protein products in normal physiology and in disease. The findings from these studies are reported in research articles that stimulate new research. It is now established that a complex regulatory networks's is controlling human cellular fate, and this community of researchers are continually unraveling this network topology. Attempts to integrate results from such accumulated knowledge resulted in literature-based protein-protein interaction networks (PPINs) and pathway databases. These databases are widely used by the community to analyze new data collected from emerging genome-wide studies with the assumption that the data within these literature-based databases is the ground truth and contain no biases. While suspicion for research focus biases is growing, a concrete proof for it is still missing. It is difficult to prove because the real PPINs are mostly unknown. RESULTS: Here we analyzed the longitudinal discovery process of literature-based mammalian and yeast PPINs to observe that these networks are discovered non-uniformly. The pattern of discovery is related to a theoretical concept proposed by Kauffman called \expanding the adjacent possible\"". We introduce a network discovery model which explicitly includes the space of possibilities in the form of a true underlying PPIN. CONCLUSIONS: Our model strongly suggests that research focus biases exist in the observed discovery dynamics of these networks. In summary, more care should be placed when using PPIN databases for analysis of newly acquired data, and when considering prior knowledge when designing new experiments.""",1.0,Dynamics of the discovery process of protein-protein interactions from low content studies.,0.0,,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,10.1186/s12918-015-0173-z,1,BMC Systems Biology,,,26048415.0,PMC4456804,26,1,"{\Custom code\"":null}""",0.0,,,0.0,1.0,5/19/16 18:33,9,2015.0,6,1,Wang Z,,1,1.0,0,0,0,0,0,0,0
1,"BACKGROUND: Thousands of biological and biomedical investigators study of the functional role of single genes and their protein products in normal physiology and in disease. The findings from these studies are reported in research articles that stimulate new research. It is now established that a complex regulatory networks's is controlling human cellular fate, and this community of researchers are continually unraveling this network topology. Attempts to integrate results from such accumulated knowledge resulted in literature-based protein-protein interaction networks (PPINs) and pathway databases. These databases are widely used by the community to analyze new data collected from emerging genome-wide studies with the assumption that the data within these literature-based databases is the ground truth and contain no biases. While suspicion for research focus biases is growing, a concrete proof for it is still missing. It is difficult to prove because the real PPINs are mostly unknown. RESULTS: Here we analyzed the longitudinal discovery process of literature-based mammalian and yeast PPINs to observe that these networks are discovered non-uniformly. The pattern of discovery is related to a theoretical concept proposed by Kauffman called \expanding the adjacent possible\"". We introduce a network discovery model which explicitly includes the space of possibilities in the form of a true underlying PPIN. CONCLUSIONS: Our model strongly suggests that research focus biases exist in the observed discovery dynamics of these networks. In summary, more care should be placed when using PPIN databases for analysis of newly acquired data, and when considering prior knowledge when designing new experiments.""",1.0,Dynamics of the discovery process of protein-protein interactions from low content studies.,0.0,,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,10.1186/s12918-015-0173-z,1,BMC Systems Biology,,,26048415.0,PMC4456804,26,1,"{\Custom code\"":null}""",0.0,,,0.0,1.0,5/19/16 18:33,9,2015.0,6,2,Ma'ayan A,,5,3.0,1,0,0,0,0,0,0
2,"BACKGROUND: Thousands of biological and biomedical investigators study of the functional role of single genes and their protein products in normal physiology and in disease. The findings from these studies are reported in research articles that stimulate new research. It is now established that a complex regulatory networks's is controlling human cellular fate, and this community of researchers are continually unraveling this network topology. Attempts to integrate results from such accumulated knowledge resulted in literature-based protein-protein interaction networks (PPINs) and pathway databases. These databases are widely used by the community to analyze new data collected from emerging genome-wide studies with the assumption that the data within these literature-based databases is the ground truth and contain no biases. While suspicion for research focus biases is growing, a concrete proof for it is still missing. It is difficult to prove because the real PPINs are mostly unknown. RESULTS: Here we analyzed the longitudinal discovery process of literature-based mammalian and yeast PPINs to observe that these networks are discovered non-uniformly. The pattern of discovery is related to a theoretical concept proposed by Kauffman called \expanding the adjacent possible\"". We introduce a network discovery model which explicitly includes the space of possibilities in the form of a true underlying PPIN. CONCLUSIONS: Our model strongly suggests that research focus biases exist in the observed discovery dynamics of these networks. In summary, more care should be placed when using PPIN databases for analysis of newly acquired data, and when considering prior knowledge when designing new experiments.""",1.0,Dynamics of the discovery process of protein-protein interactions from low content studies.,0.0,,1.0,,5/19/16 18:33,1.0,0.0,1.0,0.0,10.1186/s12918-015-0173-z,1,BMC Systems Biology,,,26048415.0,PMC4456804,26,1,"{\Custom code\"":null}""",0.0,,,0.0,1.0,5/19/16 18:33,9,2015.0,6,6,Clark NC,,2,2.0,0,0,0,0,0,0,0
3,"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b.",0.0,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,0.0,,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1016/j.cell.2014.10.032,4,Cell,,,25417160.0,PMC4243058,844-56,2,,0.0,,,1.0,0.0,5/19/16 18:33,159,2014.0,67,16,Sorger PK,,60,4.0,0,0,0,0,1,0,0
4,"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b.",0.0,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,0.0,,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1016/j.cell.2014.10.032,4,Cell,,,25417160.0,PMC4243058,844-56,2,,0.0,,,1.0,0.0,5/19/16 18:33,159,2014.0,67,30,Gujral TS,,57,1.0,0,0,0,0,0,0,0
5,"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b.",0.0,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,0.0,,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1016/j.cell.2014.10.032,4,Cell,,,25417160.0,PMC4243058,844-56,2,,0.0,,,1.0,0.0,5/19/16 18:33,159,2014.0,67,31,Chan M,,58,2.0,0,0,0,0,0,0,0
6,"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b.",0.0,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,0.0,,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1016/j.cell.2014.10.032,4,Cell,,,25417160.0,PMC4243058,844-56,2,,0.0,,,1.0,0.0,5/19/16 18:33,159,2014.0,67,32,Peshkin L,,59,3.0,0,0,0,0,0,0,0
7,"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b.",0.0,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,0.0,,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1016/j.cell.2014.10.032,4,Cell,,,25417160.0,PMC4243058,844-56,2,,0.0,,,1.0,0.0,5/19/16 18:33,159,2014.0,67,33,Kirschner MW,,61,5.0,0,0,0,0,0,0,0
8,"Wnt signaling plays a critical role in embryonic development, and genetic aberrations in this network have been broadly implicated in colorectal cancer. We find that the Wnt receptor Frizzled2 (Fzd2) and its ligands Wnt5a/b are elevated in metastatic liver, lung, colon, and breast cancer cell lines and in high-grade tumors and that their expression correlates with markers of epithelial-mesenchymal transition (EMT). Pharmacologic and genetic perturbations reveal that Fzd2 drives EMT and cell migration through a previously unrecognized, noncanonical pathway that includes Fyn and Stat3. A gene signature regulated by this pathway predicts metastasis and overall survival in patients. We have developed an antibody to Fzd2 that reduces cell migration and invasion and inhibits tumor growth and metastasis in xenografts. We propose that targeting this pathway could provide benefit for patients with tumors expressing high levels of Fzd2 and Wnt5a/b.",0.0,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,0.0,,1.0,,5/19/16 18:33,1.0,1.0,0.0,0.0,10.1016/j.cell.2014.10.032,4,Cell,,,25417160.0,PMC4243058,844-56,2,,0.0,,,1.0,0.0,5/19/16 18:33,159,2014.0,67,34,MacBeath G,,62,6.0,0,0,0,0,0,0,0
9,"Drugs that inhibit RAF/MEK signaling, such as vemurafenib, elicit profound but often temporary anti-tumor responses in patients with BRAF(V) (600E) melanoma. Adaptive responses to RAF/MEK inhibition occur on a timescale of hours to days, involve homeostatic responses that reactivate MAP kinase signaling and compensatory mitogenic pathways, and attenuate the anti-tumor effects of RAF/MEK inhibitors. We profile adaptive responses across a panel of melanoma cell lines using multiplex biochemical measurement, single-cell assays, and statistical modeling and show that adaptation involves at least six signaling cascades that act to reduce drug potency (IC50) and maximal effect (i.e., Emax ≪ 1). Among these cascades, we identify a role for JNK/c-Jun signaling in vemurafenib adaptation and show that RAF and JNK inhibitors synergize in cell killing. This arises because JNK inhibition prevents a subset of cells in a cycling population from becoming quiescent upon vemurafenib treatment, thereby reducing drug Emax. Our findings demonstrate the breadth and diversity of adaptive responses to RAF/MEK inhibition and a means to identify which steps in a signaling cascade are most predictive of phenotypic response.",0.0,Systematic analysis of BRAFV600E melanomas reveals a role for JNK/c-Jun pathway in adaptive resistance to drug-induced apoptosis.,0.0,,1.0,,5/19/16 18:33,1.0,1.0,1.0,0.0,10.15252/msb.20145877,3,Molecular Systems Biology,,,25814555.0,PMC4380931,797,3,"{\Publication Summary\"":\""http://lincs.hms.harvard.edu/fallahi-sichani-molsystbiol-2015/\"", \""Project Explorer\"":\""http://lincs.hms.harvard.edu/explore/adaptive-drug-resistance/\""}""",0.0,,,1.0,0.0,5/19/16 18:33,11,2015.0,18,11,Fallahi-Sichani M,,51,1.0,0,0,0,0,0,0,0
